Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Кисловодск	Кисловодск	Кисловодск	Ставрополь	Кавказ	1821	1	43.903333	42.724444
Кисловодск	Кисловодск	Кисловодск	Ставрополь	Кавказ	1891	1	43.903333	42.724444
Кисловодск	Кисловодск	Кисловодск	Ставрополь	Кавказ	1911	6	43.903333	42.724444
Кисловодск	Кисловодск	Кисловодск	Ставрополь	Кавказ	1921	3	43.903333	42.724444
Тотьма	Тотьма	Тотьма	Вологда	Север	1901	1	59.983333	42.766667
Железноводск	Железноводск	Железноводск	Ставрополь	Кавказ	1911	1	44.133333	43.033333
Пятигорск	Пятигорск	Пятигорск	Ставрополь	Кавказ	1891	1	44.049966	43.060055
Пятигорск	Пятигорск	Пятигорск	Ставрополь	Кавказ	1911	1	44.049966	43.060055
Балашов	Балашов	Балашов	Саратов	Поволжье	1921	1	51.554657	43.146496
Боржоми	Боржоми	Боржоми	Грузия	Кавказ	1881	1	41.843148	43.384047
Грузия	Грузия	Грузия	Грузия	Кавказ	1921	2	42.016669	43.733331
Нижний Новгород	Нижний Новгород	Нижний Новгород	Нижний Новгород	Поволжье	1891	1	56.326944	44.0075
Эчмиадзин	Эчмиадзин	Эчмиадзин	Армения	Кавказ	1911	1	40.161769	44.291164
Кавказ	Кавказ	Кавказ	Армения	Кавказ	1891	1	40.153568	44.3481366
Семёнов. Петербург	Семёнов. Петербург	Семёнов	Нижний Новгород	Поволжье	1921	1	56.78944	44.49056
Ереван	Ереван	Ереван	Армения	Кавказ	1911	1	40.183333	44.516667
Набатово. IN: Нижегородская область	Набатово	Набатово	Нижний Новгород	Поволжье	1921	1	57.2526763	46.1563839
Владикавказ	Владикавказ	Владикавказ	Осетия	Кавказ	1911	1	43.016667	44.683333
Владикавказ	Владикавказ	Владикавказ	Осетия	Кавказ	1921	1	43.016667	44.683333
Цахкадзор	Цахкадзор	Цахкадзор	Армения	Кавказ	1941	1	40.533333	44.720556
Тбилиси	Тбилиси	Тбилиси	Грузия	Кавказ	1821	1	41.716667	44.8
Тбилиси	Тбилиси	Тбилиси	Грузия	Кавказ	1841	1	41.716667	44.8
Тбилиси	Тбилиси	Тбилиси	Грузия	Кавказ	1871	1	41.716667	44.8
Тбилиси	Тбилиси	Тбилиси	Грузия	Кавказ	1911	2	41.716667	44.8
Тбилиси	Тбилиси	Тбилиси	Грузия	Кавказ	1921	5	41.716667	44.8
Тбилиси	Тбилиси	Тбилиси	Грузия	Кавказ	1931	1	41.716667	44.8
Тбилиси	Тбилиси	Тбилиси	Грузия	Кавказ	2_decades	1	41.716667	44.8
Пенза. Самара. Уфа	Пенза. Самара. Уфа	Пенза	Пенза	Поволжье	1921	1	53.1950705	44.8901936
Волга	Волга	Волга	Волга	Поволжье	1891	1	51.34529	45.895821
Васильсурск	Васильсурск	Васильсурск	Нижний Новгород	Поволжье	1901	1	56.1275	46.007222
Гянджа	Гянджа	Гянджа	Азербайджан	Кавказ	1911	1	40.682778	46.360556
Демьяново	Демьяново	Демьяново	Киров	Север	1911	1	60.35	47.1
Махачкала	Махачкала	Махачкала	Дагестан	Кавказ	1911	1	42.966667	47.483333
Нижняя Волга	Нижняя Волга	Нижняя Волга	Астрахань	Поволжье	1921	1	45.6972	47.8625
Ульяновск	Ульяновск	Ульяновск	Ульяновск	Поволжье	1881	1	54.316667	48.366667
Казань	Казань	Казань	Казань	Поволжье	1801	1	55.790833	49.114444
Казань	Казань	Казань	Казань	Поволжье	1911	2	55.790833	49.114444
Кура	Кура	Кура	Грузия	Кавказ	1911	1	39.286389	49.427778
Безенчук. Самара	Безенчук. Самара	Безенчук	Самара	Поволжье	1871	1	52.981823	49.435871
Баку	Баку	Баку	Азербайджан	Кавказ	1911	2	40.366656	49.835183
Баку	Баку	Баку	Азербайджан	Кавказ	1921	5	40.366656	49.835183
Каспийское море. Волга	Каспийское море. Волга	Каспийское море	Азербайджан	Кавказ	1921	1	40.3728783	49.8549078
Каспийское море. Волга. Петербург	Каспийское море. Волга. Петербург	Каспийское море	Азербайджан	Кавказ	2_decades	1	40.3728783	49.8549078
Кама	Кама	Кама	Поволжье	Поволжье	1881	1	55.363889	49.997778
Поволжье	Поволжье	Поволжье	Поволжье	Поволжье	1911	1	55	50
Самара	Самара	Самара	Самара	Поволжье	1881	1	53.183333	50.116667
ГБУЗ "Самарский областной клинический противотуберкулёзный диспансер". IN: Самара	Самара	Самара	Самара	Поволжье	1911	1	53.183333	50.116667
Богородское. IN: Кинель-Черкасский район, Самарская область	Богородское	Богородское	Самара	Поволжье	1841	1	53.6329367	51.1506654
Усть-Цильма	Усть-Цильма	Усть-Цильма	Коми	Север	1901	1	65.433889	52.150833
Соль-Илецк	Соль-Илецк	Соль-Илецк	Оренбург	Урал	1821	1	51.166667	54.983333
Чебенли	Чебенли	Чебенли	Башкирия	Поволжье	1901	4	53.865278	55.005
Чусовая	Чусовая	Чусовая	Пермь	Урал	1911	1	58.16	56.3817
Челябинская область	Челябинская область	Челябинская область	Челябинск	Урал	1901	1	54.53333	60.33333
Екатеринбург	Екатеринбург	Екатеринбург	Екатеринбург	Урал	1941	3	56.833333	60.583333
Екатеринбург. Переделкино	Екатеринбург. Переделкино	Екатеринбург	Екатеринбург	Урал	1941	1	56.833333	60.583333
Курган	Курган	Курган	Курган	Урал	1891	5	55.441606	65.344316
Казахстан	Казахстан	Казахстан	Казахстан	Средний Восток	1931	1	48.95	66.233333
Казахстан	Казахстан	Казахстан	Казахстан	Средний Восток	1951	2	48.95	66.233333
Казахстан	Казахстан	Казахстан	Казахстан	Средний Восток	1961	1	48.95	66.233333
Самарканд. Ашхабад	Самарканд. Ашхабад	Самарканд	Узбекистан	Средний Восток	1941	1	39.6406038	66.8274579
Акмолинская область	Акмолинская область	Акмолинская область	Казахстан	Средний Восток	1951	1	52	69
Ташкент	Ташкент	Ташкент	Узбекистан	Средний Восток	1941	44	41.3	69.266667
Ташкент	Ташкент	Ташкент	Узбекистан	Средний Восток	1951	3	41.3	69.266667
Ташкент (from date)	Ташкент	Ташкент	Узбекистан	Средний Восток	1871	11	41.3	69.266667
Ташкент (from date)	Ташкент	Ташкент	Узбекистан	Средний Восток	1921	3	41.3	69.266667
Ташкент (from date)	Ташкент	Ташкент	Узбекистан	Средний Восток	1941	3	41.3	69.266667
Ташкент (from date)	Ташкент	Ташкент	Узбекистан	Средний Восток	1951	1	41.3	69.266667
Шейхантаурское кладбище. IN: Ташкент	Ташкент	Ташкент	Узбекистан	Средний Восток	1921	1	41.3	69.266667
Ташкент. Москва	Ташкент. Москва	Ташкент	Узбекистан	Средний Восток	1941	3	41.3	69.266667
Ташкент. Париж	Ташкент. Париж	Ташкент	Узбекистан	Средний Восток	1901	1	41.3	69.266667
Шымкент	Шымкент	Шымкент	Казахстан	Средний Восток	1931	1	42.3	69.6
Бурабай. IN: Акмолинская область	Бурабай	Бурабай	Казахстан	Средний Восток	1951	1	53.082353	70.306879
Кзыл-Ту	Кзыл-Ту	Кзыл-Ту	Казахстан	Средний Восток	1951	1	53.64718	72.3592561
Омск	Омск	Омск	Омск	Сибирь	1921	1	54.966667	73.383333
Омск	Омск	Омск	Омск	Сибирь	1931	1	54.966667	73.383333
Павлодар	Павлодар	Павлодар	Казахстан	Средний Восток	1851	6	52.315556	76.956389
Павлодар	Павлодар	Павлодар	Казахстан	Средний Восток	1921	25	52.315556	76.956389
Павлодар	Павлодар	Павлодар	Казахстан	Средний Восток	1951	1	52.315556	76.956389
Павлодар	Павлодар	Павлодар	Казахстан	Средний Восток	1961	1	52.315556	76.956389
Павлодар (from date)	Павлодар	Павлодар	Казахстан	Средний Восток	1851	1	52.315556	76.956389
Павлодар. Семипалатинск	Павлодар. Семипалатинск	Павлодар	Казахстан	Средний Восток	1921	1	52.315556	76.956389
Усть-Каменогорск	Усть-Каменогорск	Усть-Каменогорск	Казахстан	Средний Восток	1791	1	49.95	82.616667
Барнаул	Барнаул	Барнаул	Алтай	Сибирь	1951	1	53.347361	83.778333
Улькен-Нарын	Улькен-Нарын	Улькен-Нарын	Казахстан	Средний Восток	1921	1	49.212131	84.511514
Томск	Томск	Томск	Томск	Сибирь	1911	2	56.488611	84.952222
Пароход на Ангаре	Пароход на Ангаре	Ангара	Иркутск	Сибирь	1951	1	58.1	93
Монголия. Москва	Монголия. Москва	Монголия	Монголия	Средний Восток	2_decades	1	46.5253706	94.8249032
Сибирь	Сибирь	Сибирь	Сибирь	Сибирь	1921	1	61.833045	96.962463
Братск	Братск	Братск	Иркутск	Сибирь	1951	1	56.116667	101.6
Иркутск	Иркутск	Иркутск	Иркутск	Сибирь	1951	2	52.283333	104.3
Иркутск. Москва	Иркутск. Москва	Иркутск	Иркутск	Сибирь	1921	1	52.283333	104.3
Вьетнам	Вьетнам	Вьетнам	Вьетнам	Дальний Восток	1951	1	14.033333	107.9
Вьетнам. Москва	Вьетнам. Москва	Вьетнам	Вьетнам	Дальний Восток	2_decades	1	14.033333	107.9
Чита	Чита	Чита	Забайкальский край	Сибирь	1921	1	52.033333	113.5
Акатуй	Акатуй	Акатуй	Забайкальский край	Сибирь	1881	2	51.0344926	117.7681405
Акатуй	Акатуй	Акатуй	Забайкальский край	Сибирь	1891	6	51.0344926	117.7681405
Кара	Кара	Кара	Забайкальский край	Сибирь	1881	1	52.823338	118.582037
Кадая. IN: Забайкальский край	Кадая	Кадая	Забайкальский край	Сибирь	1891	2	50.933612	119.291652
Далянь	Далянь	Далянь	Китай	Дальний Восток	1901	1	38.920833	121.639167
Владивосток	Владивосток	Владивосток	Владивосток	Дальний Восток	1911	1	43.116667	131.9
Владивосток	Владивосток	Владивосток	Владивосток	Дальний Восток	1921	2	43.116667	131.9
Владивосток. Тяньцзинь	Владивосток. Тяньцзинь	Владивосток	Владивосток	Дальний Восток	2_decades	1	43.116667	131.9
Владивосток. Хабаровск	Владивосток. Хабаровск	Владивосток	Владивосток	Дальний Восток	1921	1	43.116667	131.9
Тихий Океан	Тихий Океан	Тихий Океан	Япония	Дальний Восток	1911	1	27.0709891	133.2447087
Тихий Океан	Тихий Океан	Тихий Океан	Япония	Дальний Восток	1921	1	27.0709891	133.2447087
Эносима	Эносима	Эносима	Япония	Дальний Восток	1921	1	35.299722	139.480278
Иокогама. IN: Япония	Иокогама	Иокогама	Япония	Дальний Восток	1921	3	41.0497	141.253368
Пролив Лаперуза	Пролив Лаперуза	Пролив Лаперуза	Дальний Восток	Дальний Восток	1931	1	45.722222	142.026667
Охотское море	Охотское море	Охотское море	Дальний Восток	Дальний Восток	1931	1	54.268611	148.557222
