Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Смоленская область	Смоленская область	Смоленская область	Смоленск	Центр России	1901	1	55	33
Нило-Столобенская пустынь	Нило-Столобенская пустынь	Нило-Столобенская пустынь	Тверь	Северо-Запад	1911	1	57.234722	33.063611
Евпатория	Евпатория	Евпатория	Крым	Черное море	1901	1	45.2	33.358333
Евпатория	Евпатория	Евпатория	Крым	Черное море	1911	1	45.2	33.358333
Ромны	Ромны	Ромны	Украина, Сумы	Украина, Молдавия, Белоруссия, Польша, Литва	1821	1	50.742813	33.487908
Ромны	Ромны	Ромны	Украина, Сумы	Украина, Молдавия, Белоруссия, Польша, Литва	1911	2	50.742813	33.487908
Бобровка. IN: Тверская область	Бобровка	Бобровка	Тверь	Северо-Запад	1901	2	56.25417	33.49583
Севастополь	Севастополь	Севастополь	Крым	Черное море	1901	1	44.6	33.533333
Севастополь	Севастополь	Севастополь	Крым	Черное море	1911	9	44.6	33.533333
Балаклава	Балаклава	Балаклава	Крым	Черное море	1891	1	44.5	33.6
Балаклава	Балаклава	Балаклава	Крым	Черное море	1901	1	44.5	33.6
Фруктовое. IN: Нахимовский район, Севастополь, Крым	Бельбек. Севастополь	Бельбек	Крым	Черное море	1911	1	44.68056	33.60417
Бахчисарай	Бахчисарай	Бахчисарай	Крым	Черное море	1851	1	44.752778	33.860833
Великая Обуховка. IN: Полтавская область	Обуховка	Обуховка	Украина, Полтава	Украина, Молдавия, Белоруссия, Польша, Литва	1811	9	50.1453911	33.9398504
Великая Обуховка. IN: Полтавская область	Обуховка	Обуховка	Украина, Полтава	Украина, Молдавия, Белоруссия, Польша, Литва	1821	1	50.1453911	33.9398504
Симеиз. Васильсурск	Симеиз. Васильсурск	Симеиз	Крым	Черное море	2_decades	1	44.4052581	33.9924072
Крым	Крым	Крым	Крым	Черное море	1881	1	45.4	34
Крым	Крым	Крым	Крым	Черное море	1891	1	45.4	34
Крым	Крым	Крым	Крым	Черное море	1901	1	45.4	34
Крым	Крым	Крым	Крым	Черное море	1911	1	45.4	34
Крым	Крым	Крым	Крым	Черное море	1961	1	45.4	34
Масскандра. IN: Крым	Крым	Крым	Крым	Черное море	1841	1	45.4	34
Черное море	Черное море	Черное море	Черное море	Черное море	1881	2	43.2969	34.0294
Черное море	Черное море	Черное море	Черное море	Черное море	1921	1	43.2969	34.0294
Симферололь	Симферололь	Симферололь	Крым	Черное море	1921	1	44.9467765	34.0390016
Алупка	Алупка	Алупка	Крым	Черное море	1821	1	44.419722	34.043056
Мисхор. IN: Кореиз	Кореиз	Кореиз	Крым	Черное море	1911	1	44.416667	34.083333
Мисхор	Мисхор	Мисхор	Крым	Черное море	1881	1	44.430556	34.0875
Медведево. IN: Бологовский район, Тверская область	Лидино	Лидино	Тверь	Северо-Запад	1901	44	57.8783715	34.1020244
Симферополь	Симферополь	Симферополь	Крым	Черное море	1891	1	44.948056	34.104167
Симферополь	Симферополь	Симферополь	Крым	Черное море	1901	1	44.948056	34.104167
Симферополь	Симферополь	Симферополь	Крым	Черное море	1911	1	44.948056	34.104167
Симферополь	Симферополь	Симферополь	Крым	Черное море	1921	25	44.948056	34.104167
Симферополь (from date)	Симферополь	Симферополь	Крым	Черное море	1911	4	44.948056	34.104167
Симферополь (from date)	Симферополь	Симферополь	Крым	Черное море	1921	2	44.948056	34.104167
Ореанда. IN: Ялта	Ялта	Ялта	Крым	Черное море	1891	1	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	Черное море	1891	1	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	Черное море	1901	1	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	Черное море	1911	2	44.499444	34.155278
Ялта	Ялта	Ялта	Крым	Черное море	1931	1	44.499444	34.155278
Придорожное	Придорожное	Придорожное	Крым	Черное море	1941	4	45.79306	34.44028
Севск	Севск	Севск	Крым	Черное море	1821	1	52.15	34.493889
Беломорск. Пермь	Беломорск. Пермь	Беломорск	Карелия	Север	1941	1	64.5266132	34.702206
Сокологорное	Сокологорное	Сокологорное	Украина, Херсон	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	46.4926	34.9731
Днепропетровск	Днепропетровск	Днепропетровск	Украина, Днепропетровск	Украина, Молдавия, Белоруссия, Польша, Литва	1921	4	48.466601	35.018155
Судак	Судак	Судак	Крым	Черное море	1901	5	44.8374	35.0275
